Model,MAE,RMSE,R2,Training Time (s),Status
Linear Regression,0.4567201458230328,0.7250850003761959,0.816564527269907,0.04049978300008661,completed
Top-3 Voting Ensemble,0.462938131884493,0.7596108663208587,0.7986795842644051,45.63767763100009,completed
Extra Trees,0.48290949809306344,0.7921614026887486,0.7810561064200183,20.031303684000022,completed
Random Forest,0.48485371954927536,0.793713919275731,0.7801970715937881,25.56587416399998,completed
CatBoost,0.49233846283269034,0.7927022216084364,0.7807570526683957,31.541879062999897,completed
HistGradientBoosting,0.514369691905775,0.830190933093127,0.7595296957050357,23.855446153000003,completed
XGBoost,0.524710354914192,0.8341215689967132,0.7572472357147143,15.210914572000092,completed
Dummy Mean,1.3006982611483742,1.827120996277411,-0.16476978906396544,0.03678796999997758,completed
